SRC_STATION_NAME,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,OCT_JOYYOU_SIXTY_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE
Central,1,Admiralty,2,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Central,1,Tsim Sha Tsui,3,10.6,5.4,2.1,12.5,5.4,2.1,2.1,5.5,5.5
Central,1,Jordan,4,10.6,5.4,2.1,12.5,5.4,2.1,2.1,5.5,5.5
Central,1,Yau Ma Tei,5,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Mong Kok,6,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Shek Kip Mei,7,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Kowloon Tong,8,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Lok Fu,9,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Wong Tai Sin,10,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Diamond Hill,11,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Choi Hung,12,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Kowloon Bay,13,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Ngau Tau Kok,14,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Kwun Tong,15,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Prince Edward,16,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Sham Shui Po,17,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Cheung Sha Wan,18,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Central,1,Lai Chi Kok,19,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Mei Foo,20,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Lai King,21,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Kwai Fong,22,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Kwai Hing,23,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Tai Wo Hau,24,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Central,1,Tsuen Wan,25,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Tsim Sha Tsui,3,10.6,5.4,2.1,12.5,5.4,2.1,2.1,5.5,5.5
Admiralty,2,Jordan,4,10.6,5.4,2.1,12.5,5.4,2.1,2.1,5.5,5.5
Admiralty,2,Yau Ma Tei,5,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Mong Kok,6,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Shek Kip Mei,7,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Kowloon Tong,8,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Lok Fu,9,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Wong Tai Sin,10,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Diamond Hill,11,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Choi Hung,12,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Kowloon Bay,13,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Ngau Tau Kok,14,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Kwun Tong,15,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Prince Edward,16,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Sham Shui Po,17,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Cheung Sha Wan,18,13.2,6.5,2.6,15.5,6.5,2.6,2.6,6.5,6.5
Admiralty,2,Lai Chi Kok,19,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Mei Foo,20,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Lai King,21,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Kwai Fong,22,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Kwai Hing,23,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Tai Wo Hau,24,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Admiralty,2,Tsuen Wan,25,15.8,7.4,3.2,16,7.4,3.2,3.2,7.5,7.5
Tsim Sha Tsui,3,Jordan,4,4.9,3.2,2,5,3.2,2,2,3.5,3.5
